order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original
35118829,281002,78564,50848,89762,1,1,0,0,tutor,algebra,7220,12262,24,MasterySection,6180,303.0,Volume Cylinder,46174,5056,0,3,0,31687,,230.79,0,,119,119.0
38139701,290608,96281,33171,51456,1,1,1,15812,tutor,algebra,9875,14412,30,MasterySection,9875,1.0,Box and Whisker,69274,2770,0,4,15812,30060,,6,0,,13,13.0
24859592,266708,81947,38067,61115,1,0,4,267425,tutor,algebra,7840,12542,32,MasterySection,6018,47.0,Conversion of Fraction Decimals Percents,52667,2770,4,5,300944,29866,,0.7,0,0.0,28,28.0
33650452,279733,78521,50961,89875,1,1,1,15410,tutor,algebra,7220,12262,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,3,15410,47492,,2,0,,276,276.0
36366605,285720,92246,34420,53845,1,1,1,46466,tutor,algebra,5961,14020,3,MasterySection,5961,277.0,Addition and Subtraction Integers,58932,4780,0,4,46466,30650,,14,0,,1342,1342.0
33704262,279732,78562,50376,89269,1,1,1,43496,tutor,algebra,7212,12262,6,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,43496,30009,,45,0,,6,6.0
36369627,285790,77118,34472,53897,1,1,1,4165,tutor,fill_in_1,5961,14033,2,MasterySection,5961,277.0,Addition and Subtraction Integers,48183,139,0,3,4165,29949,,-41,0,,1953,1953.0
34336055,279730,78588,50397,89290,1,0,2,121765,tutor,algebra,7212,12375,6,MasterySection,6272,297.0,Area Trapezoid,46174,5056,3,3,133155,30012,,60.5,0,1.0,12,12.0
36395741,285856,77899,34688,54283,1,1,1,4244,tutor,algebra,5965,14033,4,MasterySection,5965,279.0,Multiplication and Division Integers,48183,139,0,0,4244,30016,,-18,0,,2539,2539.0
34293867,280036,78524,47150,85666,1,1,1,84741,tutor,algebra,7201,12262,13,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,84741,46397,,$16.50 ,0,,12,12.0
34289220,279730,79605,52062,91386,1,1,1,153861,tutor,algebra,7212,12375,6,MasterySection,6272,298.0,Area Triangle,46174,5056,0,3,153861,30010,,24,0,,2,2.0
28924161,270581,71831,49384,88069,1,1,1,23582,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,23582,46303,,2x2x2,0,,4,4.0
38163676,291448,96257,57383,107714,0,1,1,2447,tutor,choose_1,5970,14415,63,MasterySection,5970,311.0,Equation Solving Two or Fewer Steps,69274,2770,0,0,2447,55901,198095.0,,0,,33,
29793825,272168,82368,55642,97852,1,1,1,38055,tutor,algebra,5952,12350,12,MasterySection,5952,50.0,Ordering Fractions,11446,1645,0,0,38055,54699,,4-Mar,0,,2,2.0
